DeviceName,DeviceCameraToScreenXMm,DeviceCameraToScreenYMm,DeviceCameraXMm,DeviceCameraYMm,DevicePixelsPerInch,DeviceScreenXMm,DeviceScreenYMm,DeviceScreenWidthMm,DeviceScreenWidthPoints,DeviceScreenWidthPointsZoomed,DeviceScreenHeightMm,DeviceScreenHeightPoints,DeviceScreenHeightPointsZoomed
"iPhone 6s Plus",23.54,8.66,28.33,9.68,401,4.79,18.34,68.36,414,375,121.54,736,667
"iPhone 6s",18.61,8.04,22.92,9.08,326,4.31,17.12,58.49,375,320,104.05,667,568
"iPhone 6 Plus",23.54,8.65,28.25,9.61,401,4.71,18.26,68.36,414,375,121.54,736,667
"iPhone 6",18.61,8.03,22.85,9.01,326,4.24,17.04,58.5,375,320,104.05,667,568
"iPhone 5s",25.85,10.65,29.28,6.07,326,3.43,16.72,51.7,320,NaN,90.39,568,NaN
"iPhone 5c",25.85,10.64,29.59,6.38,326,3.74,17.02,51.7,320,NaN,90.39,568,NaN
"iPhone 5",25.85,10.65,29.28,6.07,326,3.43,16.72,51.7,320,NaN,90.39,568,NaN
"iPhone 4s",14.96,9.78,19.27,10.35,326,4.31,20.13,49.92,320,NaN,74.88,480,NaN
"iPad Mini",60.7,8.7,67.4,10.7,326,6.7,19.4,121.3,768,NaN,161.2,1024,NaN
"iPad Air 2",76.86,7.37,84.74,11.07,264,7.88,18.44,153.71,768,NaN,203.11,1024,NaN
"iPad Air",74.4,9.9,84.7,11.1,264,10.3,21,149,768,NaN,198.1,1024,NaN
"iPad 4",74.5,10.5,92.9,11.1,264,18.4,21.6,149,768,NaN,198.1,1024,NaN
"iPad 3",74.5,10.5,92.9,11.1,132,18.4,21.6,149,768,NaN,198.1,1024,NaN
"iPad 2",74.5,10.5,92.9,11.1,132,18.4,21.6,149,768,NaN,198.1,1024,NaN
"iPad Pro",98.31,10.69,110.29,11.08,264,11.99,21.77,196.61,1024,768,262.15,1366,1024
